gene,cell_type,ank2_region,region_start,region_end,mapped_feature,confidence,source,note
ARPC5L,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ATP5F1C,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ATP6V1B1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
BASP1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
C3,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CACNA2D1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CALM2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CAMK2B,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CAPZA1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CAPZA2,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CAPZB,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CDC73,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CEP170,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CKAP4,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CNTN1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
COL1A1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CORO1C,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CORO2A,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CORO2B,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CRABP1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CTNNA1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CTNNA2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CTNNB1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CTTN,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
CYTH3,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
DAPK1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
DBN1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
DYNC1H1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,Interaction with ANK2 documented (UniProt Q01484 INTERACTION/IntAct) but NO ANK2 binding region specified; region = not specified.
DYNLL2,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
EEF1A1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
EEF1A1P5,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
ENO1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
EPB41L3,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
FMNL2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
FSCN1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GABARAPL2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GAP43,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GAPDH,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GAS2L3,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GNAO1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GNAQ,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GNAS,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GNB1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
GNG2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HIST2H2BE,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HNRNPA1,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HNRNPM,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HP1BP3,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HRAS,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HSP90AB1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HSPA1A,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HSPA5,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
HSPA8,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
IGF2BP1,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
IGHG2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
IGKV2-40,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
IGLL5,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
IGLV2-8,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
INA,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
JUP,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
KRT2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
L1CAM,ExN,ANK repeats 11-14 (membrane-binding domain site-3),,,"ANK 11-14 (Step-3 coords: ANK 11 364-393, ANK 12 397-426, ANK 13 430-459, ANK 14 463-492)",medium,"Chen et al. 2017 eLife (PubMed 28841137) + Wang et al. 2014 eLife (PubMed 25383926): AnkB membrane-binding domain binding studies; site-3 = ANK repeats 11-14 binds NF186/L1-CAMs. Gil et al. 2003 J Cell Biol (PubMed 12925712): L1CAM-ankyrin B binding via conserved FIGQY motif. Chirasani et al. 2025 JBC (10.1016/j.jbc.2025.110872): ANK R11 pocket (H374; ASD sites A368/A373) modeled and co-IP validated for NrCAM (same conserved FIGQY motif) - supporting context only, not L1CAM-specific.","Experimentally supported binding region = ANK repeats 11-14 (site-3), repeat-level only. The residue-level interface for L1CAM itself is not resolved; the ANK R11 pocket was modeled/validated for NrCAM, not L1CAM, so it is used only as context and no L1CAM-specific binding residues are claimed. Region: repeat-level; no residue interval assigned. Step-3 repeat coordinates listed for orientation only."
LRRFIP2,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
LSAMP,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MACF1,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MAP1B,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MAP6,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MOCS2,ExN,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MPRIP,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MYH10,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MYH9,Both,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MYL12B,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
MYL6,NPC,Not specified,,,,not_mappable,No explicit ANK2 binding region in any consulted source (Demontis PPI Tables 5/6; UniProt Q01484 features/INTERACTION).,ANK2 PPI-network interactor (Demontis PPI Table 6). No binding region for ANK2 provided in Demontis PPI Tables; no explicit ANK2 binding region identified in UniProt Q01484 annotations. Region = not specified.
