feature_type,feature,start,end,source,access_date,boundary_confidence
Repeat,Repeat A,1830,1841,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1842,1853,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1854,1865,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1866,1877,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1878,1889,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A; approximate,1890,1900,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1901,1912,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1913,1924,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A; approximate,1925,1935,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1936,1947,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1948,1959,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1960,1971,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Repeat,Repeat A,1972,1983,UniProt,2026-09-16,lower (UniProt tandem repeats; no Pfam/InterPro specific signature)
Domain,Death 2,3569,3653,UniProt,2026-09-16,high (InterPro/Pfam/PS50017 corroborated)
Region,Disordered,1,34,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Interaction with SPTBN1,966,1125,UniProt,2026-09-16,high (UniProt REGION with PubMed evidence; InterPro corroborates ZU5 1)
Region,UPA domain,1289,1423,UniProt,2026-09-16,medium (UniProt 1289-1423 vs InterPro 1324-1453; overlap 1324-1423)
Region,Disordered,1457,1486,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,1670,2137,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Repeat-rich region,1806,1983,UniProt,2026-09-16,medium (UniProt region; no Pfam/InterPro specific signature)
Region,Disordered,2197,2411,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,2430,2484,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,2507,2586,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,2604,2852,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,2864,2904,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,2923,2951,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,2987,3016,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,3069,3099,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,3136,3462,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
Region,Disordered,3777,3858,UniProt,2026-09-16,N/A (disorder prediction; not a domain boundary)
